IPS de Lagoon Version 1.0
================================================================

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
------    ----    ID     00000000-00000004        5
0014D4       3    No     00000005-0000000C        8
007FC7       7    No     0000000D-00000018        C
007FD7       1    No     00000019-0000001E        6
008B36       C    No     0000001F-0000002F       11
008B48       8    No     00000030-0000003C        D
008B78       3    No     0000003D-00000044        8
0102BB       B    No     00000045-00000054       10
0102DC       B    No     00000055-00000064       10
0102FD       B    No     00000065-00000074       10
01031E       B    No     00000075-00000084       10
010E05      4C    No     00000085-000000D5       51
013406       5    No     000000D6-000000DF        A
013418       1    No     000000E0-000000E5        6
013430       5    No     000000E6-000000EF        A
0135EE       B    No     000000F0-000000FF       10
01363A       2    No     00000100-00000106        7
013645       2    No     00000107-0000010D        7
013660       2    No     0000010E-00000114        7
0139E3      1B    No     00000115-00000134       20
013A0D      33    No     00000135-0000016C       38
013A47       5    No     0000016D-00000176        A
013A55      21    No     00000177-0000019C       26
013A7D      1D    No     0000019D-000001BE       22
013AA3      1F    No     000001BF-000001E2       24
013AC9       9    No     000001E3-000001F0        E
013AF1       B    No     000001F1-00000200       10
013B03       9    No     00000201-0000020E        E
013B17      45    No     0000020F-00000258       4A
013B63       B    No     00000259-00000268       10
013B75       7    No     00000269-00000274        C
013B87      21    No     00000275-0000029A       26
013BAF       D    No     0000029B-000002AC       12
013BC3       7    No     000002AD-000002B8        C
013BD3       D    No     000002B9-000002CA       12
013BE7      57    No     000002CB-00000326       5C
014234       9    No     00000327-00000334        E
014278       1    No     00000335-0000033A        6
014286       9    No     0000033B-00000348        E
0142CA       1    No     00000349-0000034E        6
014316       1    No     0000034F-00000354        6
014366       B    No     00000355-00000364       10
014390       B    No     00000365-00000374       10
0143BA       B    No     00000375-00000384       10
0143E4      1B    No     00000385-000003A4       20
01441E       B    No     000003A5-000003B4       10
014448       B    No     000003B5-000003C4       10
014472      1B    No     000003C5-000003E4       20
0144AC       B    No     000003E5-000003F4       10
0144D6       B    No     000003F5-00000404       10
014500      1B    No     00000405-00000424       20
01453A       B    No     00000425-00000434       10
014564       B    No     00000435-00000444       10
01458E       C    No     00000445-00000455       11
0145AA       3    No     00000456-0000045D        8
015606       9    No     0000045E-0000046B        E
015638       9    No     0000046C-00000479        E
020002     3D4    No     0000047A-00000852      3D9
0203D6      15    Yes    00000853-0000085A        8
0203EB     437    No     0000085B-00000C96      43C
100000     679    Yes    00000C97-00000C9E        8
100679    1EC9    No     00000C9F-00002B6C     1ECE
102542      1B    Yes    00002B6D-00002B74        8
10255D      71    No     00002B75-00002BEA       76
1025CE      1B    Yes    00002BEB-00002BF2        8
1025E9    3708    No     00002BF3-000062FF     370D
105CF1    2310    Yes    00006300-00006307        8
108001       9    No     00006308-00006315        E
10800A     7F6    Yes    00006316-0000631D        8
108800      6F    No     0000631E-00006391       74
10886F     791    Yes    00006392-00006399        8
109000     610    No     0000639A-000069AE      615
109610      F0    Yes    000069AF-000069B6        8
109700      10    No     000069B7-000069CB       15
109710     8A0    Yes    000069CC-000069D3        8
109FB0      10    No     000069D4-000069E8       15
109FC0     2B1    Yes    000069E9-000069F0        8
10A271      8F    No     000069F1-00006A84       94
10A300      70    Yes    00006A85-00006A8C        8
10A370     550    No     00006A8D-00006FE1      555
10A8C0      10    Yes    00006FE2-00006FE9        8
10A8D0     110    No     00006FEA-000070FE      115
10A9E0      10    Yes    000070FF-00007106        8
10A9F0      F0    No     00007107-000071FB       F5
10AAE0      10    Yes    000071FC-00007203        8
10AAF0     330    No     00007204-00007538      335
10AE20    A1FE    Yes    00007539-00007540        8
11501E    174B    No     00007541-00008C90     1750
116769    FF2B    Yes    00008C91-00008C98        8
126694      4C    No     00008C99-00008CE9       51
1266E0      B4    Yes    00008CEA-00008CF1        8
126794    1345    No     00008CF2-0000A03B     134A
127AD9    FCF7    Yes    0000A03C-0000A043        8
1377D0     3C4    No     0000A044-0000A40C      3C9
137B94      27    Yes    0000A40D-0000A414        8
137BBB     243    No     0000A415-0000A65C      248
137DFE    FFFF    Yes    0000A65D-0000A664        8
147DFD    FFFF    Yes    0000A665-0000A66C        8
157DFC    FFFF    Yes    0000A66D-0000A674        8
167DFB    FFFF    Yes    0000A675-0000A67C        8
177DFA    FFFF    Yes    0000A67D-0000A684        8
187DF9    FFFF    Yes    0000A685-0000A68C        8
197DF8    FFFF    Yes    0000A68D-0000A694        8
1A7DF7    FFFF    Yes    0000A695-0000A69C        8
1B7DF6    FFFF    Yes    0000A69D-0000A6A4        8
1C7DF5    FFFF    Yes    0000A6A5-0000A6AC        8
1D7DF4    FFFF    Yes    0000A6AD-0000A6B4        8
1E7DF3    FFFF    Yes    0000A6B5-0000A6BC        8
1F7DF2    820E    Yes    0000A6BD-0000A6C4        8
------    ----    EOF    0000A6C5-0000A6C7        3

Total des patches: 6C (108)
